conv1d_3 channel -> top-3 char (by z-score)

Q       (n=   83): ch22(+2.31), ch51(+1.92), ch10(+1.88)
R       (n=   85): ch11(+0.93), ch01(+0.91), ch18(+0.85)
S       (n=   77): ch34(+1.86), ch37(+1.82), ch26(+1.78)
T       (n=   75): ch49(+3.97), ch16(+3.95), ch14(+3.88)
U       (n=   85): ch48(+1.82), ch27(+1.41), ch25(+1.36)
V       (n=   87): ch25(+1.36), ch48(+1.29), ch46(+1.16)
W       (n=   52): ch39(+1.36), ch11(+1.26), ch01(+1.18)
X       (n=   75): ch48(+0.80), ch22(+0.70), ch41(+0.70)
Y       (n=   98): ch59(+1.01), ch28(+0.83), ch11(+0.82)
Z       (n=  100): ch47(+0.90), ch57(+0.73), ch59(+0.58)
0       (n=   62): ch39(+1.26), ch01(+1.19), ch13(+1.06)
1       (n=   50): ch01(+1.32), ch39(+1.21), ch11(+1.02)
2       (n=   60): ch01(+1.49), ch28(+1.29), ch39(+1.16)
3       (n=   53): ch01(+1.28), ch39(+1.25), ch11(+1.11)
4       (n=  102): ch46(+1.26), ch25(+1.06), ch34(+1.02)
5       (n=  147): ch17(+1.76), ch52(+1.37), ch25(+1.35)
6       (n=  198): ch17(+1.58), ch52(+1.29), ch42(+1.19)
7       (n=   73): ch22(+1.63), ch58(+1.58), ch51(+1.57)
8       (n=   98): ch47(+0.90), ch48(+0.88), ch59(+0.82)
9       (n=   64): ch39(+1.21), ch01(+1.20), ch11(+1.07)
        (n=  255): ch30(+4.40), ch36(+3.98), ch54(+3.73)
